#root,dhatu,gana,meanings
ak1,akaz,BvAxiH,kutilAyAM gawO
akR1,akRUz,BvAxiH,vyApwO
ag1,agaz,BvAxiH,kutilAyAM gawO
afka1,afka,curAxiH,paxe lakRaNe ca
afk1,akiz,BvAxiH,lakRaNe
afga1,afga,curAxiH,paxe lakRaNe ca
afg1,agiz,BvAxiH,gawyarWaH
afG1,aGiz,BvAxiH,gawyAkRepe
ac1,acuz,BvAxiH,gawO yAcane ca
aj1,ajaz,BvAxiH,gawikRepaNayoH
aFc1,aFcuz,BvAxiH,gawipUjanayoH
aFc2,aFcuz,BvAxiH,gawO yAcane ca
aFc3,aciz,BvAxiH,gawO yAcane ca
aFc4,aFcuz,curAxiH,viSeRaNe
aFj1,aFjUz,ruXAxiH,vyakwimrakRaNakAnwigawiRu
aFj2,ajiz,curAxiH,BARArWaH
at1,ataz,BvAxiH,gawO
att1,attaz,BvAxiH,awikramahiMsayoH
att2,attaz,curAxiH,anAxare
ad1,adaz,BvAxiH,uxyame
add1,addaz,BvAxiH,aBiyoge
aN1,aNaz,BvAxiH,SabxArWaH
aN2,aNaz,xivAxiH,prANane
aNT1,aTiz,BvAxiH,gawO
aw1,awaz,BvAxiH,sAwawyagamane
ax1,axaz,axAxiH,BakRaNe
#anoruX1,anoruXaz,xivAxiH,kAme
an1,anaz,axAxiH,prANane
anw1,awiz,BvAxiH,banXane
anx1,axiz,BvAxiH,banXane
anXa1,anXa,curAxiH,xqRtyupaGAwe
aBr1,aBraz,BvAxiH,gawyarWaH
am1,amaz,BvAxiH,gawiSabxasamBakwiRu
#am2,amaz,BvAxiH,MISSING
am3,amaz,curAxiH,roge
amb1,abiz,BvAxiH,Sabxe
amB1,aBiz,BvAxiH,Sabxe
ay1,ayaz,BvAxiH,gawO
ark1,arkaz,curAxiH,swavane wapane ca
arc1,arcaz,BvAxiH,pUjAyAm
arc2,arcaz,curAxiH,pUjAyAm
arj1,arjaz,BvAxiH,arjane
arj2,arjaz,curAxiH,prawiyawne sampAxane ca
arWa1,arWa,curAxiH,upayAcFAyAm
arx1,arxaz,BvAxiH,gawO yAcane ca
arx2,arxaz,curAxiH,hiMsAyAm
arb1,arbaz,BvAxiH,gawO
arv1,arvaz,BvAxiH,hiMsAyAm
arh1,arhaz,BvAxiH,pUjAyAM yogyawve ca
arh2,arhaz,curAxiH,pUjAyAM yogyawve ca
arh3,arhaz,curAxiH,pUjAyAM yogyawve ca
al1,alaz,BvAxiH,BURaNaparyApwivAraNeRu
av1,avaz,BvAxiH,rakRaNagawikAnwiprIwiwqpwyavagamapraveSaSravaNasvAmyarWayAcanakriyecCAxIpwyavApwyAlifganahiMsAxAnaBAgavqxXiRu
aS1,aSUz,svAxiH,vyApwO saMGAwe ca
aS2,aSaz,kryAxiH,Bojane
aR1,aRaz,BvAxiH,gawixIpwyAxAneRu
as1,asaz,BvAxiH,gawixIpwyAxAneRu
as2,asaz,axAxiH,Buvi
as3,asuz,xivAxiH,kRepaNe
ah1,ahaz,svAxiH,vyApwO
#aMSa1,aMSa,curAxiH,
aMsa1,aMsa,curAxiH,samAGAwe
aMh1,ahiz,BvAxiH,gawO
aMh2,ahiz,curAxiH,BARArWaH
AfaHkranx1,AfaHkranxaz,curAxiH,sAwawye
#AfaHSAs1,AfaHSAsuz,axAxiH,icCAyAm
AfaHSaMs1,AfaHSasiz,BvAxiH,icCAyAm
AfaHRax1,AfaHRaxaz,curAxiH,paxArWe gawO ca
AFC1,ACiz,BvAxiH,AyAme
Ap1,Aplqz,svAxiH,vyApwO
Ap2,Aplqz,curAxiH,lamBane
As1,Asaz,axAxiH,upaveSane
i1,iN,axAxiH,gawO
i2,if,axAxiH,aXyayane
i3,ik,axAxiH,smaraNe
iK1,iKaz,BvAxiH,gawyarWaH
ifK1,iKiz,BvAxiH,gawyarWaH
ifg1,igiz,BvAxiH,gawyarWaH
it1,itaz,BvAxiH,gawO
inx1,ixiz,BvAxiH,paramESvarye
inX1,FiinXIz,ruXAxiH,xIpwO
inv1,iviz,BvAxiH,vyApwO
il1,ilaz,wuxAxiH,svapnakRepaNayoH
il2,ilaz,curAxiH,preraNe
iR1,iRaz,xivAxiH,gawO
iR2,iRuz,wuxAxiH,icCAyAm
iR3,iRaz,kryAxiH,ABIkRNye
#I1,If,xivAxiH,gawO
IkR1,IkRaz,BvAxiH,xarSane
IfK1,IKiz,BvAxiH,gawyarWaH
Ij1,Ijaz,BvAxiH,gawikuwsanayoH
Id1,Idaz,axAxiH,swuwO
Id2,Idaz,curAxiH,swuwO
Ir1,Iraz,axAxiH,gawO kampane ca
Ir2,Iraz,curAxiH,kRepe
IrkRy1,IrkRyaz,BvAxiH,IrRyArWaH
IrRy1,IrRyaz,BvAxiH,IrRyArWaH
IS1,ISaz,axAxiH,ESvarye
IR1,IRaz,BvAxiH,gawihiMsAxarSaneRu
IR2,IRaz,BvAxiH,uFCe
Ih1,Ihaz,BvAxiH,ceRtAyAm
u1,uf,BvAxiH,Sabxe
ukR1,ukRaz,BvAxiH,secane
uK1,uKaz,BvAxiH,gawyarWaH
ufK1,uKiz,BvAxiH,gawyarWaH
uc1,ucaz,xivAxiH,samavAye
uC1,uCIz,BvAxiH,vivAse
uC2,uCIz,wuxAxiH,vivAse
ujJ1,ujJaz,wuxAxiH,uwsarge
uFC1,uCiz,BvAxiH,uFCe
uFC2,uCiz,wuxAxiH,uFCe
uT1,uTaz,BvAxiH,upaGAwe
#uT2,uTaz,BvAxiH,
uXras1,uXrasaz,curAxiH,uFCe
unx1,unxIz,ruXAxiH,klexane
ubj1,ubjaz,wuxAxiH,Arjave
uB1,uBaz,wuxAxiH,pUraNe
umB1,umBaz,wuxAxiH,pUraNe
urx1,urxaz,BvAxiH,mAne krIdAyAFca
urv1,urvIz,BvAxiH,hiMsArWaH
uR1,uRaz,BvAxiH,xAhe
uh1,uhizr,BvAxiH,arxane
#UT1,UTaz,BvAxiH,upaGAwe
Una1,Una,curAxiH,parihANe
Uy1,UyIz,BvAxiH,wanwusanwAne
Urj1,Urjaz,curAxiH,balaprANanayoH
UrNu1,UrNuF,axAxiH,AcCAxane
UR1,URaz,BvAxiH,rujAyAm
Uh1,Uhaz,BvAxiH,viwarke
q1,q,BvAxiH,gawiprApaNayoH
q2,q,juhowyAxiH,gawO
qc1,qcaz,wuxAxiH,swuwO
qC1,qCaz,wuxAxiH,gawInxriyapralayamUrwiBAveRu
qj1,qjaz,BvAxiH,gawisWAnArjanopArjaneRu
qFj1,qjiz,BvAxiH,Barjane
#qN1,qNuz,wanAxiH,gawO
qX1,qXuz,xivAxiH,vqxXO
qX2,qXuz,svAxiH,vqxXO
qP1,qPaz,wuxAxiH,hiMsAyAm
qmP1,qmPaz,wuxAxiH,hiMsAyAm
qR1,qRIz,wuxAxiH,gawO
Q1,Q,kryAxiH,gawO
ej1,ejqz,BvAxiH,xIpwO
ej2,ejqz,BvAxiH,kampane
eT1,eTaz,BvAxiH,vibAXAyAm
eX1,eXaz,BvAxiH,vqxXO
eR1,eRqz,BvAxiH,prayawne
oK1,oKqz,BvAxiH,SoRaNAlamarWayoH
oN1,oNqz,BvAxiH,apanayane
kak1,kakaz,BvAxiH,lOlye
#kaK1,kaKaz,BvAxiH,hasane
kaK2,kaKez,BvAxiH,hasane
kag1,kagez,BvAxiH,nocyawe
kafk1,kakiz,BvAxiH,gawyarWaH
kac1,kacaz,BvAxiH,banXane
kaFc1,kaciz,BvAxiH,xIpwibanXanayoH
kat1,katez,BvAxiH,varRAvaraNayoH
kat2,katIz,BvAxiH,gawO
kaT1,kaTaz,BvAxiH,kqcCrajIvane
kad1,kadaz,BvAxiH,maxe
kad2,kadaz,wuxAxiH,maxe
kadd1,kaddaz,BvAxiH,kArkaSye
#kaN1,kaNaz,BvAxiH,SabxArWaH
kaN2,kaNaz,BvAxiH,gawO
kaN3,kaNaz,curAxiH,nimIlane
#kaNT1,kaTiz,BvAxiH,Soke
kaNT2,kaTiz,curAxiH,Soke
kaNd1,kadiz,BvAxiH,maxe
kaNd2,kadiz,BvAxiH,maxe
kaNd3,kadiz,curAxiH,Bexane
kawW1,kawWaz,BvAxiH,SlAGAyAm
kawra1,kawra,curAxiH,SEWilye
kaWa1,kaWa,curAxiH,vAkyaprabanXe
#kax1,kaxaz,BvAxiH,MISSING
kan1,kanIz,BvAxiH,xIpwikAnwigawiRu
kanx1,kaxiz,BvAxiH,AhvAne roxane ca
kanx2,kaxiz,BvAxiH,vEkalye
kab1,kabqz,BvAxiH,varNe
kam1,kamuz,BvAxiH,kAnwO
kamp1,kapiz,BvAxiH,calane kampane ca
karj1,karjaz,BvAxiH,vyaWane
#karNa1,karNa,curAxiH,MISSING
karwa1,karwa,curAxiH,SEWilye
karx1,karxaz,BvAxiH,kuwsiwe Sabxe
karb1,karbaz,BvAxiH,gawO
karv1,karvaz,BvAxiH,xarpe
kala1,kala,curAxiH,gawO safKyAne ca
kal1,kalaz,BvAxiH,SabxasaMKyAnayoH
kal2,kalaz,curAxiH,kRepe
#kal3,kalaz,curAxiH,
kall1,kallaz,BvAxiH,avyakwe Sabxe
kaS1,kaSaz,axAxiH,gawiSAsanayoH
kaR1,kaRaz,BvAxiH,hiMsArWaH
kas1,kasaz,BvAxiH,gawO
kas2,kasaz,axAxiH,gawiSAsanayoH
kAfkR1,kAkRiz,BvAxiH,kAfkRAyAm
kAFc1,kAciz,BvAxiH,xIpwibanXanayoH
kAla1,kAla,curAxiH,iwi pqWagXAwuriwyeke
kAS1,kASqz,BvAxiH,xIpwO
kAS2,kASqz,xivAxiH,xIpwO
kAs1,kAsqz,BvAxiH,SabxakuwsAyAm
ki1,ki,juhowyAxiH,jFAne
kit1,kitaz,BvAxiH,wrAse
kiw1,kiwaz,BvAxiH,nivAse rogApanayane ca
kil1,kilaz,wuxAxiH,SvEwyakrIdanayoH
kIt1,kItaz,curAxiH,varNe
kIl1,kIlaz,BvAxiH,banXane
ku1,kuf,BvAxiH,Sabxe
ku2,ku,axAxiH,Sabxe
ku3,kuf,wuxAxiH,
kuk1,kukaz,BvAxiH,AxAne
kuc1,kucaz,BvAxiH,Sabxe wAre
kuc2,kucaz,BvAxiH,samparcanakOtilyaprawiRtamBavileKaneRu
kuc3,kucaz,wuxAxiH,safkocane
#kuj1,kujuz,BvAxiH,sweyakaraNe
kuFc1,kuFcaz,BvAxiH,kOtilyAlpI BAvayoH
