//Question Type,//SourceBook,//SourceLessonID,//Samvit-bindu-sankhya,//Entered by,//Points,//Question Text,//Answer Choice 1,//Answer Choice 2,//Answer Choice 3,//Answer Choice 4,//Answer Choice 5,//Answer Choice 6,//Answer Choice 7,//Answer Choice 8,//Answer Choice 9,//Answer Choice 10,//Answer Choice 11,//Answer Choice 12,//Answer Choice 13,//Answer Choice 14,//Answer Choice 15
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks:  त् + प् + आ = ________,*त्पा,तपा ,प्ता,तप ,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks: क् + म् + अ = ________,कम ,*क्म,कामा ,म्का,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks: ष् + य् + ए  = ________,य्षे ,षये ,*ष्ये,ष्यए ,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks: स् + फ् + आ = ________,*स्फा,सफा,फसा ,फसआ ,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks: न् + त् + र् + अ = _______,नतरा ,नत्र ,न्तरा ,*न्त्र,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks: क् + त् + व् + आ = _______,कत्वा ,*क्त्वा,क्तवा ,कात्व ,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,Fill in the Blanks:  त् + म् + य् + अम् = ________,त्मयं ,तम्यम् ,*त्म्यम्,तमया ,,,,,,,,,,,
MD,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,5,Match the correspoinding responses.  Drag & Drop the words in to the respectiive boxes,बालः | पुंलिङ्गः ,सुता | स्त्रीलिङ्गः ,शिष्यः | पुंलिङ्गः ,फलम् | नपुंसकलिङ्गः ,सः | पुंलिङ्गः ,सा | स्त्रीलिङ्गः ,जलम् | नपुंसकलिङ्गः ,तत् | नपुंसकलिङ्गः ,बाला | स्त्रीलिङ्गः ,पुत्रः | पुंलिङ्गः ,सेवकः | पुंलिङ्गः ,अम्बा | स्त्रीलिङ्गः ,पुष्पम् | नपुंसकलिङ्गः ,नयनम् | नपुंसकलिङ्गः ,अजा | स्त्रीलिङ्गः 
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,कः पठति ? _______ पठति|,*बालकः ,छात्रा ,शिष्या ,पुस्तकम्,,,,,,,,,,,
FIB,प्रवेशा ,पाठ: - १,"२७,२८,३०, ५७,५८, ५९-६६",suja963@gmail.com,1,का खादति ? _______ खादति|,शुनकः ,बिडालः ,*अजा ,मूषकः ,,,,,,,,,,,
